Rede_NPD/23 172.20.76.*
Servidores-ip10/23 172.20.80.*
EAD1_ip2 172.20.76.1
DMZ-network/23 172.20.90.*
Servidores-ip2/23 172.20.81.*
Nagios 172.20.80.1
UFES_VL653/26 172.20.76.2
NCD 172.20.76.100-110
Projeto_Erica 172.20.76.4
openvpn2_ip2 200.137.10.10
HUCAM_AGHU 100.100.100.100
HUCAM_AGHU_ip2 100.100.100.101
autenticar1_ip2 172.20.76.5
Radius1_ip2 172.20.76.6
Reverso1_ip2 172.20.76.7
DMZ_IP_EXT_TEST 172.20.90.1
UFESWEB_ip2 172.20.76.8
DNS2_ip2 200.200.200.200
Drupal7_ip2 172.20.76.9
Portal_ip2 172.20.76.10
Asterisk1_ip2 172.20.80.2
OpenVPN146_ip2 172.20.80.3
WEB2_ip2 172.20.76.11
Nagios_ip2 172.20.80.4
Maruipe_Sul/23 150.1.1.1
GeracaoIMPA 160.1.1.1
multicast/8 172.*.*.*
UFES2_ip2 172.20.76.12
Drupal3_ip2 172.20.76.13
NEAAD4_ip2 172.20.76.14
RedeValidaRNP_SM_ALE/25 100.100.100.*
Mercur2_ip 190.1.1.1
Email_ip2 177.20.76.15
SIE_APP_01_ip2 172.20.76.16
Cluster_Fisica_ip2 172.20.76.20-29
Cluster_Ecologia_ip2 172.20.76.30-39
BDTD-BC_ip2 172.20.76.17
Acesso_Pergamum 172.20.76.18
Acesso_Pergamum-GRANDE/20 172.20.76.19
Moodle_ip2 172.20.76.40
LEMAG_ip2 172.20.76.41
BC1_ip2 172.20.76.42
Portais6_ip2 172.20.76.43
Portais_ip2 172.20.76.44
Elsa_XML_ip2 172.20.76.45
WEB1_ip2 172.20.76.46
Site2UFES_ip2 172.20.76.47
Share_ip2 172.20.76.48
Proxy_ip2 172.20.76.49
roteador 172.20.76.50
LPRM_ip2 172.20.76.51-59
NCD_ip2 172.20.76.101
CFTV_ip2 172.20.76.60
DI/24 172.20.76.61
DB1_ip2 172.20.76.62
TeatroBilheteria_ip2 172.20.76.63
Baleia_ip2 172.20.76.64
WEB3_ip2 172.20.76.65
WEB4_ip2 172.20.76.66
WEB5_ip2 172.20.76.67
OJS1_ip2 172.20.76.68
Moodle7_ip2 172.20.76.69
MoodlePos_ip2 172.20.76.70
MoodleNeaad2_ip2 172.20.76.71
Moodle1_ip2 172.20.76.72
Moodle6_ip2 172.20.76.73
MoodleQuimica_ip2 172.20.76.74
MoodleEdFisica_ip2 172.20.76.75
Moodle5_ip2 172.20.76.76
Moodle4_ip2 172.20.76.77
Moodle3_ip2 172.20.76.78
Drupal2_ip2 172.20.76.79
srvweb1_ip2 172.20.76.80
PACS_CCS_ip2 172.20.76.81
NTP_ip2 172.20.76.82
email1_ip2 172.20.76.83
AntiSpam2_ip2 200.137.1.1
AntiSpam3_ip2 200.137.1.2
AntiSpam1_ip2 200.137.1.20-30
OCS1_ip2 172.20.76.84
Proxy2_ip2 172.20.76.85
Drupal1_ip2 172.20.76.86
Silapweb1_ip2 172.20.76.87
Blog1_ip2 172.20.76.88
Moodle2_ip2 172.20.76.89
DSpace1_ip2 172.20.76.90
Video1_ip2 172.20.76.91
Webmail1_ip2 172.20.76.92
GFI1_ip2 172.20.76.93
WEB21_ip2 172.20.76.94
Portais2_ip2 172.20.76.95
NCD_Local_ip2 172.20.76.96
Cafe1_ip2 172.20.76.97
Intranet1_ip2 172.20.76.98
sem-nome_11.88 200.137.1.10
SRVBKP2_ip2 172.20.76.99
Portais4_ip2 172.20.76.111
bdpesca1_ip2 172.20.76.112
rcdh_ip2 172.20.76.113
Drupal8_ip2 172.20.76.114
SIEX1_ip2 172.20.76.115
Sympa2_ip2 172.20.76.116
Sympa1_ip2 172.20.76.117
portais3_ip2 172.20.76.118
Portais5_ip2 172.20.76.119
SIC1_ip2 172.20.76.120
Hipertaxonomia2_ip2 172.20.76.121
Drupal12_ip2 172.20.76.122
drupal5_ip2 172.20.76.123
Grupos1_ip2 172.20.76.124
Drupal4_ip2 172.20.76.125
Drupal11_ip2 172.20.76.126
web7_ip2 172.20.76.127
Portais7_ip2 172.20.76.128
Web21-eth1_ip2 172.20.76.129
PPU1_ip2 172.20.76.130
Drupal6_ip2 172.20.76.131
Portais6-eht1-1_ip2 172.20.76.132
Nuvem_ip2 172.20.76.133
universo1_ip2 172.20.76.134
EAD2_ip2 172.20.76.135
Drupal13_ip2 172.20.76.136
mcv_ip2 172.20.76.137
Drupal14_ip2 172.20.76.138
Moodle7_novo_ip2 172.20.76.139
BLOQUEIA-SPAM12-03-13-MAR 200.137.1.1-9
Moodle9_ip2 172.20.76.140
Moodle10_ip2 172.20.76.141
Moodle11_ip2 172.20.76.142
neaad11_ip2 172.20.76.143
sbrc2015_ip2 172.20.76.144
