"Interface","#","Enabled","Source","Destination","Service","Action","Hits","Logging","Time","Description"
"DMZ (4 incoming rules)","1","True","any","Servidores-ip10/23,Rede_NPD/23","icmp","Permit","31","Default","",""
"DMZ (4 incoming rules)","2","True","any","Servidores-ip10/23","tcp-udp/domain","Permit","0","Default","",""
"DMZ (4 incoming rules)","3","True","any","EAD1_ip2","tcp/22222","Permit","0","Default","",""
"DMZ (4 incoming rules)","4","","any","any","ip","Deny","","Default","","Implicit rule"
"DMZ IPv6 (2 implicit incoming rules)","1","","any","Any less secure networks","ip","Permit","","Default","","Implicit rule: Permit all traffic to less secure networks"
"DMZ IPv6 (2 implicit incoming rules)","2","","any","any","ip","Deny","","Default","","Implicit rule"
"inside (45 incoming rules)","1","True","Servidores-ip10/23","DMZ-network/23","tcp-udp/domain","Permit","0","Default","",""
"inside (45 incoming rules)","2","True","Servidores-ip10/23,Rede_NPD/23","DMZ-network/23","tcp/22222,tcp/ssh,tcp/telnet","Permit","59","Default","",""
"inside (45 incoming rules)","3","True","Servidores-ip10/23,Rede_NPD/23","DMZ-network/23","icmp","Permit","217","Default","",""
"inside (45 incoming rules)","4","True","any","EAD1_ip2","tcp/http","Permit","5","Default","",""
"inside (45 incoming rules)","5","True","any","EAD1_ip2","tcp/https","Permit","0","Default","",""
"inside (45 incoming rules)","6","True","Servidores-ip10/23","DMZ-network/23","udp/snmp,udp/snmptrap","Permit","0","Default","",""
"inside (45 incoming rules)","7","True","any","DMZ-network/23","ip","Deny","4797969","Default","",""
"inside (45 incoming rules)","8","True","172.20.11.154","any","icmp","Permit","77683","Default","",""
"inside (45 incoming rules)","9","False","any","VitimaAtaque20130311","ip,icmp","Deny","0","Default","",""
"inside (45 incoming rules)","10","False","DMZ-network/23","Servidores-ip10/24","icmp","Permit","0","Default","",""
"inside (45 incoming rules)","11","True","Servidores-ip10/23,Servidores-ip2/23","any","icmp","Permit","2671846","Default","",""
"inside (45 incoming rules)","12","True","Servidores-ip10/23,Servidores-ip2/23","any","ip","Permit","443435156","Default","",""
"inside (45 incoming rules)","13","True","any","any","tcp/http,tcp/https","Permit","918912407","Default","","teste melhorar velocidade"
"inside (45 incoming rules)","14","False","DT","any","tcp","Permit","0","Default","","teste 0011"
"inside (45 incoming rules)","15","True","Nagios","172.20.2.1","icmp6","Permit","0","Default","","Libera ping"
"inside (45 incoming rules)","16","False","DT","any","icmp,gre","Permit","0","Default","",""
"inside (45 incoming rules)","17","True","172.20.6.201","any","ip,icmp,pim,pcp,snp,igmp,ipinip,gre,esp,ah,icmp6,tcp,eigrp,ospf,igrp,nos","Permit","0","Default","","Liberacao para acesso a VPN do Rio - solic. por Prof Gregorio 2013-01-25"
"inside (45 incoming rules)","18","True","any","UFES_VL653/26","ip","Permit","1532","Default","",""
"inside (45 incoming rules)","19","False","Pandora","any","icmp","Permit","0","Default","",""
"inside (45 incoming rules)","20","True","any","any","Hamachi_Ports","Deny","11266","Default","",""
"inside (45 incoming rules)","21","False","Email","any","tcp","Permit","0","Default","",""
"inside (45 incoming rules)","22","True","NCD","any","ip","Permit","10232694","Default","",""
"inside (45 incoming rules)","23","False","LPRM","any","tcp","Permit","0","Default","",""
"inside (45 incoming rules)","24","False","Moodle1,MoodleNeaad2,MoodlePos,MoodleQuimica,MoodleEdFisica,Moodle6,Moodle7","any","tcp/smtp","Permit","0","Default","",""
"inside (45 incoming rules)","25","True","any","any","icmp","Permit","29513976","Default","",""
"inside (45 incoming rules)","26","True","any","Projeto_Erica","icmp,icmp6","Permit","0","Default","",""
"inside (45 incoming rules)","27","True","any","any","NegaProtocolosUDP","Deny","94178928","Default","",""
"inside (45 incoming rules)","28","True","any","any","NegaProtocolosTCP","Deny","523898596","Default","",""
"inside (45 incoming rules)","29","True","any","any","NegaSMTP","Deny","4978118","Default","",""
"inside (45 incoming rules)","30","False","any","161.148.40.200","tcp/23000","Permit","0","Default","","Rede Serpro"
"inside (45 incoming rules)","31","False","any","any","tcp/8800","Permit","0","Default","","CAIXA PROGRAMADO"
"inside (45 incoming rules)","32","False","any","any","udp/10000,udp/4500","Permit","0","Default","",""
"inside (45 incoming rules)","33","True","any","any","tcp","Permit","400749407","Default","","libera"
"inside (45 incoming rules)","34","True","any","any","udp","Permit","754838211","Default","",""
"inside (45 incoming rules)","35","True","any","any","gre","Permit","673","Default","",""
"inside (45 incoming rules)","36","True","172.20.7.200","any","ip","Permit","0","Default","","Liberacao Walter Dalvi para uso de VPN Cisco"
"inside (45 incoming rules)","37","True","172.20.7.201","200.159.31.38","ip","Permit","0","Default","",""
"inside (45 incoming rules)","38","False","any","any","tcp/1701,tcp/pptp,udp/1194,udp/1701","Permit","0","Default","","CONEXAO VPN CARTORIO SARLO"
"inside (45 incoming rules)","39","False","sem-nome_11.88","any","ip","Permit","0","Default","",""
"inside (45 incoming rules)","40","True","172.20.6.64","any","ip","Permit","0","Default","",""
"inside (45 incoming rules)","41","True","any","openvpn2_ip2","tcp/10000-10999","Permit","0","Default","",""
"inside (45 incoming rules)","42","True","HUCAM_AGHU","HUCAM_AGHU_ip2","tcp/10051","Permit","0","Default","",""
"inside (45 incoming rules)","43","True","any","autenticar1_ip2","tcp/http,tcp/https","Permit","0","Default","",""
"inside (45 incoming rules)","44","True","any","Radius1_ip2","tcp/33001","Permit","0","Default","",""
"inside (45 incoming rules)","45","","any","any","ip","Deny","","Default","","Implicit rule"
"inside IPv6 (2 implicit incoming rules)","1","","any","Any less secure networks","ip","Permit","","Default","","Implicit rule: Permit all traffic to less secure networks"
"inside IPv6 (2 implicit incoming rules)","2","","any","any","ip","Deny","","Default","","Implicit rule"
"outside (153 incoming rules)","1","True","any","EAD1_ip2","tcp/http,tcp/https","Permit","746","Default","",""
"outside (153 incoming rules)","2","True","any","Reverso1_ip2","tcp/http,tcp/https","Permit","124939","Default","",""
"outside (153 incoming rules)","3","True","any","DMZ_IP_EXT_TEST","tcp/domain,udp/domain","Permit","0","Default","",""
"outside (153 incoming rules)","4","False","108.168.247.38","UFESWEB_ip2","udp/domain","Deny","0","Default","",""
"outside (153 incoming rules)","5","True","any","UFESWEB_ip2","udp/domain","Permit","116611907","Default","",""
"outside (153 incoming rules)","6","True","any","DNS2_ip2","udp/domain","Permit","110375167","Default","",""
"outside (153 incoming rules)","7","True","any","any","icmp","Permit","342361432","Default","",""
"outside (153 incoming rules)","8","False","186.220.0.0/14,200.137.34.0/24","any","ip","Deny","0","Default","",""
"outside (153 incoming rules)","9","False","200.137.65.101","any","ip","Deny","0","Default","",""
"outside (153 incoming rules)","10","True","UFES_VL653/26","any","ip","Permit","14678","Default","",""
"outside (153 incoming rules)","11","True","any","Drupal7_ip2","tcp/http","Permit","413626","Default","",""
"outside (153 incoming rules)","12","True","any","Portal_ip2","tcp/http","Permit","6494","Default","",""
"outside (153 incoming rules)","13","True","any","DNS2_ip2","tcp/http","Permit","146258","Default","",""
"outside (153 incoming rules)","14","True","any","DNS2_ip2","tcp/800","Permit","9","Default","",""
"outside (153 incoming rules)","15","False","any","Base3_ip2","tcp/http,udp/domain","Permit","0","Default","",""
"outside (153 incoming rules)","16","True","any","UFESWEB_ip2","tcp/ftp","Permit","456","Default","",""
"outside (153 incoming rules)","17","True","any","UFESWEB_ip2","tcp/domain","Permit","49297","Default","",""
"outside (153 incoming rules)","18","True","any","UFESWEB_ip2","tcp/http","Permit","106642","Default","",""
"outside (153 incoming rules)","19","True","any","Asterisk1_ip2","tcp-udp","Permit","1861084","Default","",""
"outside (153 incoming rules)","20","True","any","OpenVPN146_ip2","icmp","Permit","0","Default","",""
"outside (153 incoming rules)","21","True","any","Maruipe_Sul/23,Nagios_ip2,WEB2_ip2","icmp","Permit","0","Default","",""
"outside (153 incoming rules)","22","False","Hummer-POPES","any","ip","Permit","0","Default","","Desativado em 2011-01-20 16h00"
"outside (153 incoming rules)","23","False","rnpMSDP","any","ip","Permit","0","Default","","Desativado em 2011-01-20 16h00"
"outside (153 incoming rules)","24","True","GeracaoIMPA","multicast/8","ip","Permit","0","Default","",""
"outside (153 incoming rules)","25","True","any","UFES2_ip2","tcp/http","Permit","14876","Default","",""
"outside (153 incoming rules)","26","True","any","Drupal3_ip2","Portas_WEB","Permit","0","Default","",""
"outside (153 incoming rules)","27","True","any","NEAAD4_ip2","tcp/ftp,tcp/http","Permit","260297","Default","",""
"outside (153 incoming rules)","28","True","RedeValidaRNP_SM_ALE/25","Mercur2_ip","tcp/smtp","Permit","83165","Default","",""
"outside (153 incoming rules)","29","True","any","Email_ip2","tcp/pop3","Permit","276","Default","",""
"outside (153 incoming rules)","30","True","any","Email_ip2","tcp/http","Permit","2507","Default","",""
"outside (153 incoming rules)","31","True","any","Email_ip2","tcp/800","Permit","3","Default","",""
"outside (153 incoming rules)","32","True","any","Email_ip2","tcp/ftp","Permit","337","Default","",""
"outside (153 incoming rules)","33","True","any","SIE_APP_01_ip2","tcp/3389","Permit","3816464","Default","",""
